Category,Precision,Recall,F1-Score,ROC AUC
Acne,0.0,0.0,0.0,0.5020512820512821
Actinic,0.0,0.0,0.0,0.5020242914979758
Atopic,0.0,0.0,0.0,0.502
Bacterial-Infections,0.0,0.0,0.0,0.502002002002002
Basal,0.0,0.0,0.0,0.5
Eczema_photos,0.18,1.0,0.31,0.5
Impetigo,0.0,0.0,0.0,0.5
Lupus,0.0,0.0,0.0,0.50199203187251
Rosacea,0.0,0.0,0.0,0.501996007984032
allergic-contact,0.0,0.0,0.0,0.5
alopecia-areata,0.0,0.0,0.0,0.5019685039370079
atypical-nevi,0.0,0.0,0.0,0.5019704433497537
bullous-pemphigoid,0.0,0.0,0.0,0.5019665683382497
candidiasis-large,0.0,0.0,0.0,0.5019704433497537
dermatitis,0.0,0.0,0.0,0.5
dermatofibroma,0.0,0.0,0.0,0.5
distal-subungual,0.0,0.0,0.0,0.5
drug-eruptions,0.0,0.0,0.0,0.5
epidermal-cyst,0.0,0.0,0.0,0.5019646365422397
fixed-drug-eruption,0.0,0.0,0.0,0.5019607843137255
genital-warts,0.0,0.0,0.0,0.5
herpes,0.0,0.0,0.0,0.5019762845849802
herpes-cutaneous,0.0,0.0,0.0,0.5
herpes-type,0.0,0.0,0.0,0.5
herpes-zoster,0.0,0.0,0.0,0.5
hives-Urticaria,0.0,0.0,0.0,0.5
intertrigo,0.0,0.0,0.0,0.5019646365422397
keratoacanthoma,0.0,0.0,0.0,0.5019665683382497
lentigo-adults,0.0,0.0,0.0,0.5019646365422397
melanocytic-nevi,0.0,0.0,0.0,0.5
molluscum-contagiosum,0.0,0.0,0.0,0.5019723865877712
morphea,0.0,0.0,0.0,0.5
mucous-cyst,0.0,0.0,0.0,0.5
pemphigus,0.0,0.0,0.0,0.501974333662389
psoriasis,0.0,0.0,0.0,0.5
pyogenic-granuloma,0.0,0.0,0.0,0.5
rhus-dermatitis,0.0,0.0,0.0,0.5019627085377821
sebaceous-hyperplasia,0.0,0.0,0.0,0.5
seborrheic-keratoses,0.0,0.0,0.0,0.5019880715705766
seborrheic-keratosis,0.0,0.0,0.0,0.5
skin-tags,0.0,0.0,0.0,0.5
sun-damaged-skin,0.0,0.0,0.0,0.5
tinea-body,0.0,0.0,0.0,0.5019723865877712
tinea-foot,0.0,0.0,0.0,0.5
tinea-groin,0.0,0.0,0.0,0.5019723865877712
tinea-hand,0.0,0.0,0.0,0.5019607843137255
tinea-laboratory,0.0,0.0,0.0,0.5
tinea-primary,0.0,0.0,0.0,0.5
tinea-scalp,0.0,0.0,0.0,0.5
tinea-versicolor,0.0,0.0,0.0,0.5
venous-malformations,0.0,0.0,0.0,0.5019627085377821
viral-exanthems,0.0,0.0,0.0,0.5019665683382497
warts-common,0.0,0.0,0.0,0.5
warts-flat,0.0,0.0,0.0,0.5019607843137255
warts-plantar,0.0,0.0,0.0,0.35714285714285715
