Category,Precision,Recall,F1-Score,ROC AUC
Acne,0.73,0.89,0.8,0.9885824866956943
Actinic,0.57,0.62,0.6,0.931503036437247
Atopic,0.52,0.61,0.56,0.9285714285714286
Bacterial-Infections,0.58,0.52,0.55,0.9452556004280143
Basal,0.62,0.68,0.65,0.9649089649089649
Eczema_photos,0.65,0.79,0.72,0.9426116507967042
Impetigo,0.67,0.25,0.36,0.9676470588235294
Lupus,0.67,0.5,0.57,0.9755976095617529
Rosacea,0.62,0.88,0.73,0.993666513127591
allergic-contact,0.5,0.33,0.4,0.9587364264560712
alopecia-areata,0.73,0.92,0.81,0.9966371391076115
atypical-nevi,0.82,0.69,0.75,0.9980295566502463
bullous-pemphigoid,0.47,0.64,0.54,0.9912398319477965
candidiasis-large,0.8,0.62,0.7,0.9962864721485412
dermatitis,0.36,0.36,0.36,0.8582283007061768
dermatofibroma,0.56,0.5,0.53,0.9644400785854617
distal-subungual,0.81,0.93,0.87,0.9994364609749226
drug-eruptions,0.55,0.5,0.52,0.9552985564304463
epidermal-cyst,0.33,0.1,0.15,0.863555992141454
fixed-drug-eruption,0.0,0.0,0.0,0.8949754901960785
genital-warts,0.82,0.88,0.85,0.9828310276679842
herpes,0.73,0.69,0.71,0.954483695652174
herpes-cutaneous,0.71,0.42,0.53,0.9359416010498688
herpes-type,0.75,0.55,0.63,0.9677842038677028
herpes-zoster,0.38,0.2,0.26,0.9215531424810793
hives-Urticaria,0.83,0.42,0.56,0.9876968503937008
intertrigo,0.71,0.5,0.59,0.9955795677799607
keratoacanthoma,0.83,0.45,0.59,0.9886475373201037
lentigo-adults,1.0,0.6,0.75,0.9858546168958742
melanocytic-nevi,0.73,0.67,0.7,0.9969652230971128
molluscum-contagiosum,0.5,0.43,0.46,0.9788672865595943
morphea,0.62,0.73,0.67,0.9934745686958076
mucous-cyst,1.0,0.67,0.8,0.9983595800524935
pemphigus,0.46,0.4,0.43,0.9500493583415597
psoriasis,0.81,0.93,0.87,0.999788672865596
pyogenic-granuloma,0.67,0.86,0.75,0.9882361228515074
rhus-dermatitis,0.33,0.22,0.27,0.9858248827826845
sebaceous-hyperplasia,1.0,0.57,0.73,0.9827899818105499
seborrheic-keratoses,0.68,0.77,0.72,0.9940809687330562
seborrheic-keratosis,0.5,0.18,0.27,0.962098864753732
skin-tags,0.78,0.78,0.78,0.9977101733725875
sun-damaged-skin,0.56,0.36,0.43,0.9225133840518457
tinea-body,0.31,0.36,0.33,0.8989151873767258
tinea-foot,0.65,0.91,0.75,0.9947135369600578
tinea-groin,0.67,0.86,0.75,0.9882361228515074
tinea-hand,0.86,0.75,0.8,0.9990196078431373
tinea-laboratory,0.91,1.0,0.95,1.0
tinea-primary,0.75,0.75,0.75,0.9840686274509803
tinea-scalp,0.67,0.57,0.62,0.9938435707289772
tinea-versicolor,0.68,0.93,0.79,0.9969709777402085
venous-malformations,0.6,0.33,0.43,0.9744847890088322
viral-exanthems,0.38,0.45,0.42,0.9868597479216948
warts-common,0.88,0.54,0.67,0.972565365668814
warts-flat,0.8,0.5,0.62,0.9522058823529411
warts-plantar,0.9,0.64,0.75,0.9956325725556495
