Category,Precision,Recall,F1-Score,ROC AUC
Acne,0.15,0.42,0.22,0.8213642960812773
Actinic,0.03,0.03,0.03,0.7868168016194332
Atopic,0.38,0.11,0.17,0.8038928571428572
Bacterial-Infections,0.33,0.03,0.06,0.6658382520451487
Basal,0.22,0.65,0.33,0.8195678195678195
Eczema_photos,0.26,0.76,0.39,0.767522682825174
Impetigo,0.0,0.0,0.0,0.727328431372549
Lupus,0.0,0.0,0.0,0.7633632138114209
Rosacea,0.33,0.23,0.27,0.8832335329341318
allergic-contact,0.0,0.0,0.0,0.7320171108917406
alopecia-areata,0.0,0.0,0.0,0.7108759842519685
atypical-nevi,0.0,0.0,0.0,0.7214096248579007
bullous-pemphigoid,0.0,0.0,0.0,0.7141324751944221
candidiasis-large,0.0,0.0,0.0,0.7881773399014779
dermatitis,0.0,0.0,0.0,0.640743720389738
dermatofibroma,0.0,0.0,0.0,0.8384086444007859
distal-subungual,0.42,0.36,0.38,0.9554804170188786
drug-eruptions,0.0,0.0,0.0,0.6861056430446194
epidermal-cyst,0.0,0.0,0.0,0.7720039292730845
fixed-drug-eruption,0.0,0.0,0.0,0.7057598039215686
genital-warts,0.0,0.0,0.0,0.8027420948616601
herpes,0.0,0.0,0.0,0.7921195652173914
herpes-cutaneous,0.0,0.0,0.0,0.7691929133858267
herpes-type,0.15,0.09,0.11,0.7893999638532442
herpes-zoster,0.0,0.0,0.0,0.8196117143797302
hives-Urticaria,0.11,0.17,0.13,0.8808234908136483
intertrigo,0.0,0.0,0.0,0.8807465618860512
keratoacanthoma,0.0,0.0,0.0,0.8542951640296773
lentigo-adults,0.0,0.0,0.0,0.8006876227897838
melanocytic-nevi,0.0,0.0,0.0,0.7477854330708661
molluscum-contagiosum,0.0,0.0,0.0,0.8609467455621301
morphea,0.5,0.09,0.15,0.874407794761777
mucous-cyst,0.0,0.0,0.0,0.9115813648293963
pemphigus,0.0,0.0,0.0,0.5872984534386311
psoriasis,0.56,0.36,0.43,0.9763313609467456
pyogenic-granuloma,0.0,0.0,0.0,0.6611017187940265
rhus-dermatitis,0.0,0.0,0.0,0.8958674081343365
sebaceous-hyperplasia,0.0,0.0,0.0,0.8687561214495593
seborrheic-keratoses,0.0,0.0,0.0,0.9085487077534791
seborrheic-keratosis,0.0,0.0,0.0,0.850183248413337
skin-tags,0.0,0.0,0.0,0.8213935230618252
sun-damaged-skin,0.0,0.0,0.0,0.7636658213581291
tinea-body,0.0,0.0,0.0,0.8274161735700197
tinea-foot,0.0,0.0,0.0,0.847008855955178
tinea-groin,0.0,0.0,0.0,0.7557058326289097
tinea-hand,0.0,0.0,0.0,0.8761029411764706
tinea-laboratory,0.0,0.0,0.0,0.8666011787819253
tinea-primary,0.0,0.0,0.0,0.7350490196078432
tinea-scalp,0.0,0.0,0.0,0.8639988806492235
tinea-versicolor,0.0,0.0,0.0,0.8242462665539588
venous-malformations,0.0,0.0,0.0,0.5031076218514884
viral-exanthems,0.19,0.36,0.25,0.9174041297935103
warts-common,0.0,0.0,0.0,0.4441076165214097
warts-flat,0.0,0.0,0.0,0.6821078431372549
warts-plantar,0.0,0.0,0.0,0.6067906452521837
