Category,Precision,Recall,F1-Score,ROC AUC
Acne,0.81,0.83,0.82,0.9934204160619254
Actinic,0.72,0.65,0.68,0.9541244939271254
Atopic,0.74,0.71,0.73,0.9658571428571429
Bacterial-Infections,0.62,0.45,0.52,0.9709019364191778
Basal,0.7,0.76,0.73,0.9659799659799659
Eczema_photos,0.75,0.82,0.78,0.9605655477541599
Impetigo,0.38,0.38,0.38,0.9662990196078431
Lupus,0.64,0.58,0.61,0.9815737051792829
Rosacea,0.75,0.81,0.78,0.9953170581913097
allergic-contact,0.54,0.47,0.5,0.9452451464297467
alopecia-areata,0.71,0.83,0.77,0.9982775590551182
atypical-nevi,0.82,0.69,0.75,0.9970443349753695
bullous-pemphigoid,0.67,0.73,0.7,0.9963350317332619
candidiasis-large,0.68,1.0,0.81,0.9998484274346344
dermatitis,0.38,0.27,0.32,0.9387682131044963
dermatofibroma,0.86,0.6,0.71,0.987819253438114
distal-subungual,0.75,0.86,0.8,0.9989433643279798
drug-eruptions,0.67,0.67,0.67,0.9720308398950132
epidermal-cyst,0.75,0.3,0.43,0.9250491159135561
fixed-drug-eruption,1.0,0.62,0.77,0.9716911764705882
genital-warts,0.87,0.81,0.84,0.984869071146245
herpes,0.6,0.75,0.67,0.9851778656126482
herpes-cutaneous,0.71,0.42,0.53,0.9557906824146981
herpes-type,0.64,0.64,0.64,0.9624977408277607
herpes-zoster,0.45,0.33,0.38,0.931424810793024
hives-Urticaria,0.8,0.67,0.73,0.9936023622047244
intertrigo,1.0,0.7,0.82,0.9970530451866405
keratoacanthoma,0.78,0.64,0.7,0.9872173058013766
lentigo-adults,0.75,0.6,0.67,0.9851669941060903
melanocytic-nevi,0.64,0.75,0.69,0.9972933070866141
molluscum-contagiosum,0.5,0.43,0.46,0.9823894054663286
morphea,0.55,0.55,0.55,0.9956199159738983
mucous-cyst,0.91,0.83,0.87,0.999015748031496
pemphigus,0.36,0.53,0.43,0.9731490621915103
psoriasis,1.0,0.93,0.96,0.9993660185967878
pyogenic-granuloma,0.92,0.86,0.89,0.9943646097492251
rhus-dermatitis,0.71,0.56,0.63,0.9887689455893578
sebaceous-hyperplasia,0.71,0.71,0.71,0.9979012172939694
seborrheic-keratoses,0.89,0.73,0.8,0.9939002349539129
seborrheic-keratosis,0.43,0.55,0.48,0.9679985697684813
skin-tags,0.73,0.89,0.8,0.9988005670046887
sun-damaged-skin,0.6,0.43,0.5,0.9154691462383769
tinea-body,0.54,0.5,0.52,0.9461820231051
tinea-foot,0.75,0.82,0.78,0.9949394541839871
tinea-groin,0.79,0.79,0.79,0.9958438996900535
tinea-hand,0.78,0.88,0.82,0.9987745098039215
tinea-laboratory,1.0,1.0,1.0,1.0
tinea-primary,0.71,0.62,0.67,0.9863970588235293
tinea-scalp,0.67,0.86,0.75,0.9983209738351756
tinea-versicolor,0.71,0.86,0.77,0.9983798253029021
venous-malformations,0.7,0.78,0.74,0.995420346745175
viral-exanthems,0.6,0.82,0.69,0.9912398319477965
warts-common,0.67,0.77,0.71,0.9795377036756346
warts-flat,0.62,0.62,0.62,0.9935049019607843
warts-plantar,0.85,0.79,0.81,0.9982389405466329
